support,itemsets
0.47839408346539886,frozenset({'coffee'})
0.32720549392498677,frozenset({'bread'})
0.14263074484944532,frozenset({'tea'})
0.10385631273111463,frozenset({'cake'})
0.09001584786053883,"frozenset({'bread', 'coffee'})"
0.0861067089276281,frozenset({'pastry'})
0.07184363444268357,frozenset({'sandwich'})
0.061806656101426306,frozenset({'medialuna'})
0.05832012678288431,frozenset({'hot chocolate'})
0.054727945060750134,"frozenset({'cake', 'coffee'})"
0.054410987849973586,frozenset({'cookies'})
0.049867934495509775,"frozenset({'coffee', 'tea'})"
0.04754358161648178,"frozenset({'coffee', 'pastry'})"
0.04004226096143687,frozenset({'brownie'})
0.03919704173269942,frozenset({'farm house'})
0.03856312731114633,frozenset({'juice'})
0.03845747490755415,frozenset({'muffin'})
0.038246170100369785,"frozenset({'sandwich', 'coffee'})"
0.036344426835710514,frozenset({'alfajores'})
0.03518225039619651,"frozenset({'coffee', 'medialuna'})"
0.03454833597464342,frozenset({'scone'})
0.03444268357105124,frozenset({'soup'})
0.03359746434231379,frozenset({'toast'})
0.029582673005810883,"frozenset({'coffee', 'hot chocolate'})"
0.029160063391442156,"frozenset({'bread', 'pastry'})"
0.029054410987849975,frozenset({'scandinavian'})
0.02820919175911252,"frozenset({'coffee', 'cookies'})"
0.02810353935552034,"frozenset({'bread', 'tea'})"
0.02377179080824089,"frozenset({'cake', 'tea'})"
0.023666138404648707,"frozenset({'coffee', 'toast'})"
0.02334918119387216,"frozenset({'bread', 'cake'})"
0.020602218700475437,"frozenset({'juice', 'coffee'})"
0.02028526148969889,frozenset({'truffles'})
