antecedents,consequents,antecedent support,consequent support,support,confidence,lift,antecedents_str,consequents_str
frozenset({'toast'}),frozenset({'coffee'}),0.03359746434231379,0.47839408346539886,0.023666138404648707,0.7044025157232704,1.4724314954330286,toast,coffee
frozenset({'medialuna'}),frozenset({'coffee'}),0.061806656101426306,0.47839408346539886,0.03518225039619651,0.5692307692307692,1.1898783636857841,medialuna,coffee
frozenset({'pastry'}),frozenset({'coffee'}),0.0861067089276281,0.47839408346539886,0.04754358161648178,0.5521472392638037,1.154168202215526,pastry,coffee
frozenset({'juice'}),frozenset({'coffee'}),0.03856312731114633,0.47839408346539886,0.020602218700475437,0.5342465753424658,1.11674996369621,juice,coffee
frozenset({'sandwich'}),frozenset({'coffee'}),0.07184363444268357,0.47839408346539886,0.038246170100369785,0.5323529411764706,1.1127916493452503,sandwich,coffee
frozenset({'cake'}),frozenset({'coffee'}),0.10385631273111463,0.47839408346539886,0.054727945060750134,0.5269582909460835,1.1015150670946732,cake,coffee
frozenset({'cookies'}),frozenset({'coffee'}),0.054410987849973586,0.47839408346539886,0.02820919175911252,0.5184466019417476,1.083722854986449,cookies,coffee
frozenset({'hot chocolate'}),frozenset({'coffee'}),0.05832012678288431,0.47839408346539886,0.029582673005810883,0.5072463768115942,1.0603107236134584,hot chocolate,coffee
frozenset({'tea'}),frozenset({'coffee'}),0.14263074484944532,0.47839408346539886,0.049867934495509775,0.3496296296296296,0.7308402041617589,tea,coffee
frozenset({'pastry'}),frozenset({'bread'}),0.0861067089276281,0.32720549392498677,0.029160063391442156,0.33865030674846625,1.0349774470049187,pastry,bread
frozenset({'bread'}),frozenset({'coffee'}),0.32720549392498677,0.47839408346539886,0.09001584786053883,0.2751049402647724,0.5750592446126481,bread,coffee
frozenset({'cake'}),frozenset({'tea'}),0.10385631273111463,0.14263074484944532,0.02377179080824089,0.2288911495422177,1.6047812817904374,cake,tea
frozenset({'cake'}),frozenset({'bread'}),0.10385631273111463,0.32720549392498677,0.02334918119387216,0.22482197355035605,0.6870971842602906,cake,bread
frozenset({'tea'}),frozenset({'bread'}),0.14263074484944532,0.32720549392498677,0.02810353935552034,0.19703703703703704,0.6021813224267213,tea,bread
frozenset({'coffee'}),frozenset({'bread'}),0.47839408346539886,0.32720549392498677,0.09001584786053883,0.1881625441696113,0.5750592446126481,coffee,bread
frozenset({'tea'}),frozenset({'cake'}),0.14263074484944532,0.10385631273111463,0.02377179080824089,0.16666666666666669,1.6047812817904377,tea,cake
frozenset({'coffee'}),frozenset({'cake'}),0.47839408346539886,0.10385631273111463,0.054727945060750134,0.11439929328621908,1.101515067094673,coffee,cake
frozenset({'coffee'}),frozenset({'tea'}),0.47839408346539886,0.14263074484944532,0.049867934495509775,0.10424028268551237,0.730840204161759,coffee,tea
frozenset({'coffee'}),frozenset({'pastry'}),0.47839408346539886,0.0861067089276281,0.04754358161648178,0.09938162544169611,1.154168202215526,coffee,pastry
frozenset({'bread'}),frozenset({'pastry'}),0.32720549392498677,0.0861067089276281,0.029160063391442156,0.08911850177591218,1.034977447004919,bread,pastry
frozenset({'bread'}),frozenset({'tea'}),0.32720549392498677,0.14263074484944532,0.02810353935552034,0.08588957055214724,0.6021813224267212,bread,tea
frozenset({'coffee'}),frozenset({'sandwich'}),0.47839408346539886,0.07184363444268357,0.038246170100369785,0.0799469964664311,1.1127916493452503,coffee,sandwich
frozenset({'coffee'}),frozenset({'medialuna'}),0.47839408346539886,0.061806656101426306,0.03518225039619651,0.07354240282685512,1.1898783636857841,coffee,medialuna
frozenset({'bread'}),frozenset({'cake'}),0.32720549392498677,0.10385631273111463,0.02334918119387216,0.07135938004520505,0.6870971842602908,bread,cake
frozenset({'coffee'}),frozenset({'hot chocolate'}),0.47839408346539886,0.05832012678288431,0.029582673005810883,0.061837455830388695,1.0603107236134584,coffee,hot chocolate
frozenset({'coffee'}),frozenset({'cookies'}),0.47839408346539886,0.054410987849973586,0.02820919175911252,0.05896643109540636,1.083722854986449,coffee,cookies
frozenset({'coffee'}),frozenset({'toast'}),0.47839408346539886,0.03359746434231379,0.023666138404648707,0.04946996466431095,1.4724314954330286,coffee,toast
frozenset({'coffee'}),frozenset({'juice'}),0.47839408346539886,0.03856312731114633,0.020602218700475437,0.04306537102473498,1.11674996369621,coffee,juice
