Transaction,items_list
1,['bread']
2,['scandinavian']
3,"['hot chocolate', 'jam', 'cookies']"
4,['muffin']
5,"['coffee', 'pastry', 'bread']"
6,"['medialuna', 'pastry', 'muffin']"
7,"['medialuna', 'pastry', 'coffee', 'tea']"
8,"['pastry', 'bread']"
9,"['bread', 'muffin']"
10,"['scandinavian', 'medialuna']"
11,"['bread', 'medialuna']"
12,"['jam', 'coffee', 'tartine', 'pastry', 'tea']"
13,"['basket', 'bread', 'coffee']"
14,"['bread', 'medialuna', 'pastry']"
15,"['mineral water', 'scandinavian']"
16,"['bread', 'medialuna', 'coffee']"
17,['hot chocolate']
18,['farm house']
19,"['farm house', 'bread']"
20,"['bread', 'medialuna']"
21,"['coffee', 'medialuna', 'bread']"
22,['jam']
23,"['scandinavian', 'muffin']"
24,['bread']
25,['scandinavian']
26,['fudge']
27,['scandinavian']
28,"['coffee', 'bread']"
29,"['bread', 'jam']"
30,['bread']
31,['basket']
32,"['scandinavian', 'muffin']"
33,['coffee']
34,"['coffee', 'muffin']"
35,"['muffin', 'scandinavian']"
36,"['tea', 'bread']"
37,"['coffee', 'bread']"
38,"['bread', 'tea']"
39,['scandinavian']
40,"['juice', 'tartine', 'coffee', 'muffin']"
41,['scandinavian']
42,"['bread', 'tea']"
43,"['scandinavian', 'fudge']"
44,"['coffee', 'medialuna']"
45,"['coffee', 'hot chocolate', 'medialuna']"
46,['coffee']
47,"[""ella's kitchen pouches"", 'juice', 'bread', 'muffin', 'jam']"
48,['coffee']
49,"['coffee', 'medialuna']"
50,"['bread', 'victorian sponge']"
51,['bread']
52,['scandinavian']
54,['bread']
55,"['frittata', 'coffee', 'tea', 'hearty & seasonal']"
56,"['coffee', 'frittata']"
57,['scandinavian']
58,"['victorian sponge', 'hot chocolate', 'tea', 'soup']"
59,['tea']
60,"['cookies', 'coffee', 'juice']"
61,['coffee']
62,"['pick and mix bowls', 'hearty & seasonal', 'coffee', 'smoothies']"
63,['coffee']
64,['cake']
65,"['tartine', 'mighty protein', 'tea', 'coffee']"
66,"['hearty & seasonal', 'frittata', 'mineral water']"
67,"['hearty & seasonal', 'mineral water', 'muffin']"
68,"['frittata', 'coffee', 'tea', 'scandinavian', 'chicken sand']"
69,"['bread', 'tea', 'victorian sponge']"
70,['fudge']
71,['muffin']
72,"['coffee', 'bread']"
73,['bread']
74,"['coffee', 'bread']"
75,"['jam', 'frittata']"
76,['coffee']
77,['scandinavian']
78,['fudge']
79,"['fudge', 'tea', 'coffee', 'muffin']"
80,"['frittata', 'bread', 'coffee']"
81,"['coffee', 'cake']"
82,"['tartine', 'bread']"
83,"['coffee', 'bread']"
84,['bread']
85,"['coffee', 'pastry', 'medialuna']"
86,['juice']
87,['bread']
88,"['coffee', 'jam']"
89,['bread']
90,"['bread', 'coffee']"
91,['tea']
92,['coffee']
93,"['bread', 'coke']"
94,['coffee']
95,"['tea', 'pastry', 'farm house']"
96,"['pastry', 'coffee', 'juice']"
97,"['coffee', 'pastry', 'juice']"
98,['farm house']
99,"['pastry', 'coffee', 'bread']"
100,['bread']
101,"['coffee', 'pastry']"
102,['farm house']
103,['bread']
104,"['coffee', 'medialuna', 'muffin']"
105,"['coffee', 'tea', 'cake']"
106,"['coffee', 'pastry']"
107,"['coffee', 'tea']"
108,"['farm house', 'muffin']"
109,"['bread', 'muffin', 'pastry']"
110,['pastry']
111,['coffee']
112,['coffee']
113,"['coffee', 'cake']"
114,['farm house']
115,['bread']
116,['coffee']
117,"['cookies', 'cake', 'coffee', 'my-5 fruit shoot']"
118,"['cookies', 'tea', 'pastry']"
119,"['coffee', 'muffin']"
120,['farm house']
121,"['coffee', 'bread']"
122,['cookies']
123,"['jam', 'coffee', 'juice']"
124,"['coffee', 'soup']"
125,['tea']
126,"['coffee', 'jam']"
127,['farm house']
128,"['tartine', 'coffee', 'tea']"
129,"['coffee', 'cake']"
130,"['coffee', 'muffin']"
131,"['bread', 'coffee']"
132,"['tea', 'juice', 'pick and mix bowls', 'cookies']"
133,"['hearty & seasonal', 'soup']"
134,"['hearty & seasonal', 'tea', 'farm house']"
135,['bread']
136,"['tea', 'soup']"
137,['farm house']
138,"['soup', 'hearty & seasonal', 'coffee']"
139,"['bread', 'muffin', 'hearty & seasonal']"
140,"['coffee', 'cookies']"
141,['bread']
142,"['tea', 'muffin']"
143,['tea']
144,"['soup', 'hearty & seasonal']"
145,"['coffee', 'tea', 'focaccia']"
146,['sandwich']
147,"['tartine', 'coffee']"
148,"['fudge', 'coffee']"
149,['coffee']
150,['bread']
151,"['coke', 'soup']"
152,['muffin']
153,"['tea', 'coffee', 'cookies', 'muffin']"
154,"['mighty protein', 'hearty & seasonal', 'coffee', 'coke']"
155,"['tea', 'muffin', 'sandwich']"
156,"['coffee', 'muffin']"
157,"['coffee', 'bread']"
158,"['coffee', 'muffin']"
159,"['bread', 'hot chocolate', 'cookies']"
160,"['mineral water', 'muffin']"
161,['tea']
162,['muffin']
163,"['coffee', 'juice']"
164,"['coffee', 'muffin']"
165,['tea']
166,"['coffee', 'muffin']"
167,"['sandwich', 'hearty & seasonal', 'bread', 'mineral water']"
168,"['tea', 'coffee']"
169,['mineral water']
170,['coffee']
171,"['soup', 'tea']"
172,"['bread', 'coffee']"
173,"['bread', 'muffin']"
174,['coffee']
175,['bread']
176,"['cookies', 'coffee']"
178,"['coffee', 'pastry']"
179,"['coffee', 'pastry']"
180,"['jam', 'tea']"
181,['tea']
182,"['pastry', ""ella's kitchen pouches""]"
183,['pastry']
184,"['farm house', 'tea']"
185,"['tea', 'victorian sponge']"
186,"['tea', 'pastry']"
187,['bread']
188,['coffee']
189,"['bread', 'coffee']"
190,"['coffee', 'pastry']"
191,"['soup', 'tea']"
192,['bread']
193,['coffee']
194,['bread']
195,"['bread', 'scandinavian']"
196,"['bread', 'cake', 'cookies']"
197,"['coffee', 'tea']"
198,"['coffee', 'cookies']"
199,['coffee']
200,['bread']
201,"['coffee', 'pastry']"
202,['coffee']
203,['coffee']
204,"['scandinavian', 'bread']"
205,"['coffee', 'pastry']"
206,"['scandinavian', 'coffee', 'pastry']"
207,"['hearty & seasonal', 'coffee', 'muffin']"
208,['bread']
209,['coffee']
210,['scandinavian']
211,"['soup', 'coffee']"
212,"['coffee', 'cookies', 'tartine']"
213,['bread']
214,"['bread', 'tea']"
215,"['pastry', 'coffee']"
216,"['tartine', 'coffee']"
217,"['bread', 'cookies']"
218,['sandwich']
